"id","address"
2,"1418 NW 65th St., Seattle, WA, 98117"
3,"2600 SW Thistle St., Seattle, WA, 98126"
4,"5511 15th Ave. S, Seattle, WA, 98108"
6,"400 23rd Ave., Seattle, WA, 8122"
7,"1819 N 135th St., Seattle, WA, 98133"
8,"3528 S Ferdinand St., Seattle, WA, 98118"
9,"4400 Interlake Ave. N, Seattle, WA, 98103"
10,"10750 30th Ave. NE, Seattle, WA,  98125"
11,"2410 E Cherry St., Seattle, WA, 98122"
12,"8815 Seward Park Ave. S, Seattle, WA, 98118"
13,"1410 NE 66th St., Seattle, WA, 98115"
14,"1700 E Union St., Seattle, WA, 98122"
15,"2445 3rd Ave. S., Seattle, WA, 98134"
16,"305 Harrison St., Seattle, WA, 8109"
17,"3000 California Ave. SW, Seattle, WA, 98116"
18,"3928 S Graham St, Seattle, WA, 98118"
19,"2601 SW Kenyon St, Seattle, WA, 98126"
20,"3003 NE 75th St, Seattle, WA, 98115"
21,"1610 N 41st St, Seattle, WA, 98103"
22,"11051 34th Ave NE, Seattle, WA,  98125"
23,"3429 45th Ave SW, Seattle, WA, 98116"
24,"1915 1st Ave W, Seattle, WA, 98119"
25,"301 21st Ave E, Seattle, WA, 8112"
26,"1600 S Columbian Way, Seattle, WA, 98108"
27,"1330 N 90th St, Seattle, WA, 98103"
28,"2101 S Jackson St, Seattle, WA, 98144"
29,"9201 15th Ave NW, Seattle, WA, 98117"
